wiki_commons_id,wiki_data_q,depicts
56245820,['Q41404140'],['St. Bartholomäus (Töging)']
53886284,"['Q134976', 'Q75820']","['Łukasz Podolski', 'Nico Rosberg']"
25383569,['Q2300323'],['Baixa-Chiado']
117222895,"['Q55075651', 'Q11451', 'Q355304', 'Q1092661', 'Q1424561']","['upland', 'agriculture', 'watercourse', 'moorland', 'Alwinton']"
138294506,['Q1780'],['Bratislava']
114943549,"['Q623045', 'Q1287199']","['biometric passport', 'Belarusian passport']"
86370715,['Q76772'],['Heinrich Wilhelm Gottfried von Waldeyer-Hartz']
113593120,"['Q11451', 'Q1808189']","['agriculture', 'Millom Without']"
146169395,['Q525'],['Sun']
114773016,"['Q11451', 'Q1006733', 'Q2298445']","['agriculture', 'grassland', 'Asfordby']"
21155102,"['Q12031078', 'Q233320']","['Church of Saint Wenceslaus in Prague - Prosek', 'scaffold']"
139592870,"['Q355304', 'Q12284', 'Q3815129', 'Q826782']","['watercourse', 'canal', 'canal basin', 'Stafford']"
49697370,['Q2749279'],['Jyothika']
113930420,['Q6432174'],['Korets Castle']
91261924,['Q32171427'],['Pietro Suber']
